retention_1_diff_pp,retention_7_diff_pp
-0.7733025212526501,-0.12276557456696036
-0.957484964651828,-0.45706750256460094
-0.5870515786617625,-0.6491120133623296
-0.7669657138144326,-1.1512514051261913
-1.104152475242559,-0.7253418150652557
-0.6398623400509396,-0.33041781175506546
-0.8355931170615616,-0.8381045288476718
-0.3991455416391676,-0.8717123293027096
0.18905271146753,-0.6744443416588197
-0.5435505390269879,-0.9001623078431387
-0.4720785805433336,-0.8021417081288618
-0.8712977442293324,-0.4993149018547277
-0.40276615292051954,-0.5170567823683608
-0.7269569263813447,-0.9309912079932009
-0.8566466618303292,-0.25903540954882454
-0.9869945695256954,-1.4204704109452821
-0.5409507512768419,-0.4282309713934812
-0.6855631887405234,-1.0324384049776176
-0.7600990932094931,-0.9731461002224745
-0.8470504190038697,-0.4937019215944388
-0.7212917172541633,-0.9366161389264271
-0.8836714119690559,-1.025752372319233
-0.6931536365233804,-0.7742498702761835
-0.5697111522351972,-0.7626627338624986
-0.7410647695489769,-0.9538789597485109
-0.10090794131068503,-0.48251623926781617
-0.5067086799212916,-1.0559992304356807
-0.39077903781148393,-0.8080651108070824
-0.5961031068651312,-0.31085219953610743
0.04552675246659588,-0.8043146650543592
-0.771298201600773,-1.0583259231784186
-0.6885495291213573,-0.9399651305920853
-0.5143110783770888,-0.6249303430684111
-0.4527189330085113,-1.2249216972729293
-0.9533972443518668,-0.8518243439928908
-0.8299293833261001,-0.5682646781927203
-0.7535816978247234,-0.5888123111406379
-0.8499218263697039,-0.7474818382967735
-0.4558246325795101,-1.0088119245880072
-0.5572315513699688,-0.648322531252854
-0.9093917682879593,-0.931365809950957
-1.135381354087961,-1.042745048917351
-0.03144030247890783,-0.7339560371627557
-0.792660693395747,-1.2164253589738716
-0.5445847886228372,-0.8495752568546316
-0.4551515588767596,-0.9411411653322488
-0.02920316601358608,-0.5328719488345929
-0.0038066581772633334,-0.908800431286505
-0.3780024405929838,-0.9073527769306561
-0.4012020901579427,-1.0159113620063915
-1.1747961488144998,-0.8572940637171539
-0.26517554727074066,-0.31638757419191754
-0.616056747106497,-0.6829541060225347
-0.458073719717772,-0.8121901585175617
-1.0369234482678236,-0.8365270400204433
-0.6911881196737468,-0.9726311885121269
-0.3889672567790936,-1.037648455759127
-0.3841064312177511,-0.7256014840080066
-0.6500271988463591,-0.5228369245105502
0.35241442691137936,-0.7545812757151549
-0.40864927740477675,-0.6485822001956076
-0.7119297666328683,-0.6001278279386374
-0.7520042089975032,-0.769503977729849
-0.7129640162287176,-1.0321787360348638
-0.7219379388276048,-0.652422202225747
0.23272091298419673,-0.852160143148406
-0.5915900311322442,-0.9499479260492355
-0.6846453475513881,-0.9573592612772658
-0.6207504107859418,-0.265657262667382
-0.4167963904836647,-1.3200962663589584
-0.21566154868032927,-0.6369562609796792
-0.4831224777256393,-1.084461159649039
-0.4982645704891264,-1.1110083254879388
-0.9836187257307283,-1.2433486021622446
-0.5521767117974252,-0.8670574684255083
-0.5872202159353856,-0.9968501862165663
-0.7288179854971932,-0.9715566607223142
-0.5025448294085688,-0.7108981727421082
-0.4444822636522072,-0.6013172887434554
-0.4158263204276369,-1.028661107095588
-0.4331294194436841,-1.0527785978496769
0.11405117337165427,-0.33570694353277364
-0.7434436911586129,-0.5516868817463216
0.08898898929913246,-0.7435761813350844
-0.5466667138792014,-0.5538852154094054
-0.06000668942606202,-1.0774647045727255
-1.1026913948220585,-0.6293404364592303
-0.5299725090260776,-1.1048789581255796
-0.6128495405851531,-0.7120742074822717
-0.6936834496901023,-0.5015774150576413
-0.7187068309603861,-1.613225322856282
-0.7019977246508879,-0.32843886884077467
-0.23446453091912067,-0.6495642209245645
-0.5312515261083117,-0.6639317330349503
-0.4805361160401478,-0.7374721907103143
-0.5168213098498187,-1.2411368424345093
-0.18272534653631656,-1.4216464456854454
-0.9836829052705554,-1.1055386057636758
-0.5829011542136997,-0.8198313597755996
-0.5776762019758186,-0.6896386632891993
-0.05966941487882127,-0.6742249509100295
-0.5268563341738641,-0.8349495511932148
-0.9086679411100362,-0.9559355082672832
-1.107759660459251,-1.0105058218219582
-0.578956694449767,-0.7714694945794853
-0.2194105190413298,-0.8608385447857358
-0.522252226771841,-0.590494257701657
-0.25789552190580434,-0.37698279737516105
-0.9167374485844426,-0.9284690258475364
-0.7910697785038723,-0.5338032160883799
-0.2222043208026825,-0.9042231760137909
-0.5581747692966821,-0.8923390432468287
-0.3913222770428604,-0.5598339948252123
-0.7555994435412605,-1.0618689288552834
-1.3482839202515362,-0.4844310026422799
-0.24149978879767775,-0.5580744426597117
